nca,vma	
dna,hwa	woa,gxa	sxb,yla	isa,rfa	lba,pwa	
jkb,x=308,y=329
xba,x=207,y=364
hlb,x=231,y=353
yia,x=256,y=343
kya,x=281,y=332
eza,x=306,y=323
kyb,x=203,y=353
jma,x=228,y=344
fza,x=253,y=334
kma,x=279,y=325
qmb,x=304,y=316
uxa,x=200,y=343
uxb,x=226,y=334
xab,x=251,y=325
uwb,x=277,y=317
xaa,x=302,y=310
waa,x=198,y=332
rib,x=223,y=324
zjb,x=249,y=317
klb,x=275,y=310
dza,x=301,y=303
jlb,x=195,y=321
bha,x=221,y=314
cza,x=247,y=308
czb,x=274,y=302
smb,x=300,y=297
hma,x=194,y=310
yjb,x=220,y=304
wab,x=246,y=299
yja,x=273,y=294
mya,x=299,y=290
bhb,x=192,y=299
etb,x=219,y=294
gma,x=245,y=290
eta,x=272,y=287
tqa,x=298,y=284
tqb,x=192,y=288
oyb,x=218,y=285
zra,x=245,y=282
gmb,x=271,y=279
oya,x=298,y=277
xra,x=191,y=277
dpb,x=218,y=275
wua,x=245,y=273
bza,x=271,y=271
fxa,x=298,y=270
qob,x=191,y=266
sxa,x=218,y=264
dpa,x=245,y=264
sxb,x=272,y=263
clb,x=298,y=263
iub,x=192,y=255
qoa,x=219,y=255
poa,x=245,y=255
vqa,x=272,y=256
jya,x=299,y=257
yvb,x=193,y=244
yva,x=220,y=245
eub,x=246,y=246
oxa,x=273,y=248
mob,x=300,y=250
uva,x=194,y=233
hpa,x=221,y=235
hpb,x=248,y=237
syb,x=274,y=240
cmb,x=301,y=244
dqb,x=196,y=222
fya,x=223,y=225
wvb,x=249,y=228
lpa,x=276,y=233
lpb,x=302,y=237
ita,x=199,y=211
uwa,x=225,y=215
qpa,x=252,y=220
sya,x=278,y=225
qpb,x=304,y=231
itb,x=202,y=200
jxb,x=228,y=205
ppa,x=254,y=211
mpa,x=280,y=218
ryb,x=306,y=224
xqb,x=205,y=189
yua,x=231,y=196
xqa,x=257,y=203
yub,x=282,y=210
tsa,x=308,y=218
ztb,x=209,y=179
gob,x=234,y=186
goa,x=260,y=194
evb,x=285,y=203
eva,x=310,y=212
hoa,x=213,y=169
fva,x=238,y=177
usa,x=263,y=186
zta,x=288,y=196
nwa,x=313,y=206
lnb,x=217,y=158
loa,x=242,y=168
lob,x=267,y=178
wsb,x=292,y=189
szb,x=316,y=200
iwb,x=222,y=148
qqa,x=247,y=159
dna,x=271,y=170
xta,x=295,y=182
ytb,x=319,y=194
cnb,x=228,y=139
pma,x=252,y=150
pmb,x=276,y=163
rva,x=299,y=175
vsb,x=323,y=188
zsa,x=233,y=129
ttb,x=257,y=142
gnb,x=280,y=155
gna,x=304,y=169
fwb,x=326,y=183
fwa,x=240,y=120
nva,x=263,y=134
lma,x=286,y=148
hnb,x=308,y=162
ozb,x=330,y=177
uta,x=246,y=111
oza,x=269,y=126
nvb,x=291,y=141
iva,x=313,y=156
wtb,x=334,y=172
qra,x=253,y=102
wta,x=275,y=118
qrb,x=297,y=134
lna,x=318,y=150
ysb,x=339,y=167
doa,x=260,y=94
xsb,x=282,y=110
xsa,x=303,y=127
dob,x=323,y=144
pnb,x=343,y=162
coa,x=268,y=86
rwb,x=289,y=103
vta,x=309,y=121
ewa,x=329,y=139
aya,x=348,y=157
mra,x=276,y=78
mrb,x=296,y=96
vtb,x=315,y=115
jvb,x=334,y=134
qta,x=353,y=153
qtb,x=284,y=71
ftb,x=303,y=90
zva,x=322,y=109
ssb,x=340,y=129
wza,x=358,y=148
gqa,x=293,y=64
uqb,x=311,y=83
tmb,x=329,y=103
rsa,x=346,y=124
hua,x=363,y=144
ptb,x=302,y=57
oua,x=319,y=77
jub,x=336,y=98
jua,x=353,y=119
xnb,x=369,y=141
iqa,x=311,y=51
cpb,x=327,y=72
wyb,x=343,y=93
yra,x=359,y=115
yrb,x=374,y=137
qsb,x=320,y=45
zua,x=336,y=67
nta,x=351,y=89
urb,x=366,y=111
tnb,x=380,y=134
fub,x=330,y=39
ota,x=345,y=62
hta,x=359,y=84
otb,x=373,y=107
tna,x=386,y=130
pua,x=340,y=34
eqa,x=354,y=57
eqb,x=367,y=80
xmb,x=380,y=104
ipb,x=392,y=127
ipa,x=350,y=29
cqb,x=363,y=53
vva,x=375,y=77
yqa,x=387,y=101
sua,x=398,y=125
yqb,x=360,y=25
ltb,x=372,y=49
dua,x=383,y=73
zxa,x=394,y=98
gsb,x=405,y=122
sub,x=371,y=21
nsb,x=381,y=46
gsa,x=392,y=70
qva,x=401,y=95
qvb,x=411,y=120
fra,x=381,y=18
zxb,x=391,y=43
owb,x=400,y=68
era,x=409,y=93
erb,x=417,y=119
vxa,x=392,y=15
tob,x=401,y=40
hsb,x=409,y=66
uob,x=416,y=91
xpa,x=424,y=117
vwb,x=403,y=12
pqb,x=410,y=38
pqa,x=417,y=64
isb,x=424,y=90
isa,x=430,y=116
jsb,x=414,y=10
jsa,x=420,y=36
sva,x=426,y=62
nra,x=432,y=88
wya,x=437,y=115
upa,x=425,y=8
zwb,x=430,y=35
fsb,x=435,y=61
esb,x=439,y=87
ova,x=444,y=114
tpa,x=436,y=7
vyb,x=440,y=34
vya,x=444,y=60
vxb,x=447,y=87
mvb,x=450,y=113
xoa,x=447,y=6
xob,x=450,y=33
irb,x=453,y=60
cbb,x=455,y=86
yob,x=457,y=113
jra,x=458,y=6
lrb,x=460,y=33
dsa,x=462,y=60
jrb,x=463,y=86
swa,x=464,y=113
wxa,x=469,y=6
wxb,x=470,y=33
swb,x=471,y=60
npb,x=471,y=87
vib,x=470,y=114
saa,x=480,y=7
sab,x=480,y=34
dha,x=479,y=61
tab,x=478,y=87
wma,x=477,y=114
dhb,x=491,y=8
opa,x=490,y=35
pxa,x=488,y=62
umb,x=486,y=88
mhb,x=483,y=115
pxb,x=502,y=10
kba,x=500,y=37
tia,x=497,y=63
tib,x=494,y=90
elb,x=490,y=116
bra,x=513,y=12
ela,x=510,y=38
gub,x=506,y=65
zza,x=501,y=91
nqb,x=497,y=118
zzb,x=524,y=14
nqa,x=519,y=41
lhb,x=514,y=67
vjb,x=509,y=93
vja,x=503,y=119
noa,x=535,y=17
nob,x=529,y=44
cea,x=523,y=70
xya,x=516,y=96
wna,x=509,y=121
tbb,x=545,y=21
dib,x=539,y=47
tba,x=531,y=72
ooa,x=524,y=98
mga,x=516,y=124
una,x=556,y=25
unb,x=548,y=50
pya,x=540,y=76
asb,x=531,y=101
hxb,x=522,y=126
hxa,x=566,y=29
emb,x=557,y=54
bsa,x=548,y=79
fqa,x=538,y=104
npa,x=528,y=129
lgb,x=576,y=33
qyb,x=566,y=58
zyb,x=556,y=83
gtb,x=545,y=108
gta,x=534,y=132
mgb,x=586,y=39
bta,x=575,y=63
cfa,x=564,y=87
vka,x=552,y=111
tca,x=540,y=135
tcb,x=596,y=44
dfa,x=584,y=68
fna,x=571,y=92
apa,x=558,y=115
fnb,x=545,y=139
hwa,x=605,y=50
osa,x=592,y=73
mjb,x=579,y=97
lfb,x=565,y=120
uka,x=551,y=142
qzb,x=614,y=56
qza,x=600,y=79
tka,x=586,y=102
tkb,x=571,y=124
gwa,x=556,y=146
enb,x=623,y=63
ceb,x=608,y=85
btb,x=593,y=107
bua,x=577,y=129
nma,x=561,y=151
nmb,x=632,y=70
tdb,x=616,y=92
oqb,x=600,y=113
wla,x=583,y=134
tda,x=566,y=155
dgb,x=640,y=77
eoa,x=623,y=98
fob,x=606,y=119
aqb,x=589,y=139
ula,x=571,y=160
ora,x=648,y=85
pwa,x=631,y=105
leb,x=613,y=125
hvb,x=594,y=145
tlb,x=576,y=164
tla,x=656,y=93
gvb,x=637,y=113
eob,x=619,y=132
yza,x=600,y=151
wqb,x=580,y=169
yzb,x=663,y=102
ola,x=644,y=120
ava,x=624,y=139
iyb,x=605,y=157
chb,x=585,y=174
tea,x=670,y=110
cha,x=650,y=128
vma,x=630,y=146
wqa,x=609,y=163
gyb,x=589,y=180
llb,x=677,y=119
flb,x=656,y=136
yyb,x=635,y=153
awb,x=614,y=169
okb,x=592,y=185
oka,x=683,y=128
yya,x=662,y=145
dmb,x=640,y=160
awa,x=618,y=176
cia,x=596,y=191
ixa,x=689,y=138
xub,x=667,y=153
wra,x=644,y=168
bwb,x=622,y=183
wrb,x=599,y=197
nkb,x=694,y=147
cib,x=672,y=162
tfa,x=649,y=176
gxa,x=626,y=189
eib,x=602,y=203
fma,x=699,y=157
fmb,x=676,y=171
uja,x=653,y=184
onb,x=629,y=196
ona,x=605,y=209
atb,x=704,y=168
rza,x=680,y=180
woa,x=656,y=192
djb,x=632,y=204
ata,x=608,y=215
moa,x=708,y=178
yxa,x=684,y=189
wob,x=659,y=200
rzb,x=635,y=211
yxb,x=610,y=221
voa,x=712,y=188
vob,x=687,y=199
bxb,x=662,y=209
bxa,x=637,y=218
cja,x=612,y=227
eja,x=715,y=199
ejb,x=690,y=208
tgb,x=665,y=217
mna,x=639,y=226
mnb,x=614,y=234
uga,x=718,y=210
pzb,x=693,y=218
fjb,x=667,y=226
dkb,x=641,y=233
oma,x=615,y=240
dka,x=720,y=220
jzb,x=695,y=228
ywb,x=669,y=235
jza,x=643,y=241
hza,x=617,y=247
aua,x=722,y=231
vpa,x=696,y=238
wpa,x=670,y=243
xwa,x=644,y=249
xwb,x=618,y=254
gza,x=724,y=242
ckb,x=698,y=248
izb,x=671,y=252
byb,x=645,y=256
cka,x=618,y=260
iza,x=725,y=253
bya,x=699,y=257
lia,x=672,y=261
thb,x=645,y=264
uhb,x=619,y=267
uha,x=726,y=265
mma,x=699,y=267
fka,x=672,y=270
fkb,x=646,y=272
